date,brand,satisfied,dissatisfied,unknown
19-May-22,Newspoll,41,46,13
18-May-22,Ipsos,33,37,30
13-May-22,Newspoll,38,49,13
7-May-22,Ipsos,30,36,34
7-May-22,Newspoll,41,47,12
30-Apr-22,Newspoll,40,49,11
30-Apr-22,Resolve,37,48,15
23-Apr-22,Newspoll,38,50,12
23-Apr-22,Ipsos,31,35,34
20-Apr-22,Essential,41,41,17
17-Apr-22,Newspoll,37,51,12
16-Apr-22,Resolve,35,44,21
9-Apr-22,Newspoll,42,45,13
3-Apr-22,Resolve,38,42,20
3-Apr-22,Newspoll,43,44,13
2-Apr-22,Ipsos,30,32,38
12-Mar-22,Newspoll,44,42,14
26-Feb-22,Newspoll,44,43,13
20-Feb-22,Essential,43,40,17
12-Feb-22,Newspoll,40,46,14
30-Jan-22,Newspoll,43,43,14
23-Jan-22,Essential,39,39,22
4-Dec-21,Newspoll,39,45,16
13-Nov-21,Newspoll,37,48,15
23-Oct-21,Newspoll,37,46,17
2-Oct-21,Newspoll,37,47,16
18-Sep-21,Newspoll,37,48,15
28-Aug-21,Newspoll,40,47,13
7-Aug-21,Newspoll,38,46,16
17-Jul-21,Resolve,30,46,24
17-Jul-21,Newspoll,38,46,16
6-Jul-21,Essential,41,35,24
26-Jun-21,Newspoll,40,45,15
13-Jun-21,Resolve,31,44,25
8-Jun-21,Essential,39,36,24
5-Jun-21,Newspoll,38,47,15
15-May-21,Newspoll,39,46,15
24-Apr-21,Newspoll,40,43,17
12-Apr-21,Essential,39,34,27
27-Mar-21,Newspoll,42,40,18
30-Mar-21,Essential,41,32,27
13-Mar-21,Newspoll,42,41,17
20-Feb-21,Newspoll,38,45,17
30-Jan-21,Newspoll,41,43,16
14-Dec-20,Essential,43,29,28
28-Nov-20,Newspoll,44,41,15
6-Nov-20,Newspoll,43,39,18
10-Oct-20,Newspoll,39,43,18
19-Sep-20,Newspoll,39,40,21
29-Aug-20,Newspoll,43,41,16
9-Aug-20,Essential,44,30,26
8-Aug-20,Newspoll,41,38,15
18-Jul-20,Newspoll,41,40,19
12-Jul-20,Essential,44,28,28
27-Jun-20,Newspoll,42,40,18
6-Jun-20,Newspoll,41,38,21
2-Jun-20,Essential,43,30,27
16-May-20,Newspoll,44,37,19
5-May-20,Essential,42,27,31
25-Apr-20,Newspoll,45,34,21
5-Apr-20,Essential,44,29,27
3-Apr-20,Newspoll,45,36,19
14-Mar-20,Newspoll,40,40,20
11-Mar-20,Essential,41,33,26
22-Feb-20,Newspoll,39,44,17
11-Feb-20,Essential,41,31,28
1-Feb-20,Newspoll,43,40,17
11-Jan-20,Essential,43,30,27
11-Jan-20,Newspoll,46,37,17
8-Dec-19,Essential,39,28,33
8-Dec-19,Newspoll,40,41,19
23-Nov-19,Newspoll,38,45,17
12-Nov-19,Essential,37,34,29
10-Nov-19,Newspoll,42,37,21
20-Oct-19,Newspoll,37,44,19
15-Oct-19,Essential,40,29,31
29-Sep-19,Newspoll,39,40,21
17-Sep-19,Essential,36,31,33
7-Sep-19,Newspoll,35,40,25
22-Aug-19,Essential,38,29,33
18-Aug-19,Newspoll,41,34,25
28-Jul-19,Newspoll,39,36,25
21-Jul-19,Essential,39,24,37
23-Jun-19,Essential,35,25,40
