Date,last_date,Firm,pv_lnp,pv_alp,pv_grn,pv_onp,pv_oth,tpp_lnp,tpp_alp
13–15 Dec 2018,15 Dec 2018,Ipsos,36,37,13,6,9,46,54
6–9 Dec 2018,9 Dec 2018,Newspoll,35,41,9,7,8,45,55
4 Dec 2018,4 Dec 2018,ReachTEL,37,38.2,10.6,6.9,7.3,46,54
4 Dec 2018,4 Dec 2018,Essential,38,39,10,6,7,46,54
23–25 Nov 2018,25 Nov 2018,Newspoll,34,40,9,8,9,45,55
20 Nov 2018,20 Nov 2018,Essential,37,35,11,7,10,48,52
15–17 Nov 2018,17 Nov 2018,Ipsos,37,34,13,5,11,48,52
8–11 Nov 2018,11 Nov 2018,Newspoll,35,40,9,6,10,45,55
1–4 Nov 2018,4 Nov 2018,Essential,36,39,10,6,9,46,54
25–28 Oct 2018,28 Oct 2018,Newspoll,36,39,9,6,10,46,54
19–21 Oct 2018,21 Oct 2018,Essential,38,37,10,7,8,47,53
10–13 Oct 2018,13 Oct 2018,Newspoll,37,38,11,6,8,47,53
10–13 Oct 2018,13 Oct 2018,Ipsos,35,35,15,5,10,45,55
6-8 Oct 2018,8 Oct 2018,Essential,38,37,10,7,8,47,53
22–24 Sep 2018,24 Sep 2018,Essential,37,36,12,5,10,47,53
20–23 Sep 2018,23 Sep 2018,Newspoll,36,39,10,6,9,46,54
12–15 Sep 2018,15 Sep 2018,Ipsos,34,31,15,7,13,47,53
8–10 Sep 2018,10 Sep 2018,Essential,36,37,10,8,9,46,54
6–9 Sep 2018,9 Sep 2018,Newspoll,34,42,10,6,8,44,56
25–26 Aug 2018,26 Aug 2018,Roy Morgan,36.5,36,13,2.5,12,46,54
24–26 Aug 2018,26 Aug 2018,Essential,35,39,10,7,9,45,55
24–25 Aug 2018,25 Aug 2018,Newspoll,33,41,10,7,9,44,56
18–19 Aug 2018,19 Aug 2018,Roy Morgan,39,34.5,12,2,12.5,49.5,50.5
15–18 Aug 2018,18 Aug 2018,Ipsos,33,35,13,8,11,45,55
12 Aug 2018,12 Aug 2018,Newspoll,37,35,10,9,9,49,51
30 Jul 2018,30 Jul 2018,ReachTEL,37,35,12,8,8,48,52
29 Jul 2018,29 Jul 2018,Newspoll,39,36,10,7,8,49,51
18–21 Jul 2018,21 Jul 2018,Ipsos,39,34,12,6,9,49,51
17 Jul 2018,17 Jul 2018,Essential,40,36,10,6,8,49,51
16 Jul 2018,16 Jul 2018,Newspoll,38,36,10,7,9,49,51
3 Jul 2018,3 Jul 2018,Essential,40,37,11,6,6,48,52
2 Jul 2018,2 Jul 2018,Newspoll,39,37,9,6,9,49,51
21–24 Jun 2018,24 Jun 2018,Ipsos,35,35,12,6,12,47,53
14–17 Jun 2018,17 Jun 2018,Newspoll,38,38,10,6,8,48,52
14–17 Jun 2018,17 Jun 2018,Essential,38,35,11,7,9,48,52
2 Jun 2018,2 Jun 2018,ReachTEL,35,34,11,9,11,48,52
31 May – 3 Jun 2018,3 Jun 2018,Essential,36,37,10,8,9,46,54
24–27 May 2018,27 May 2018,Newspoll,38,38,9,8,7,48,52
17–20 May 2018,20 May 2018,Essential,40,36,10,8,7,49,51
10–13 May 2018,13 May 2018,Essential,38,36,10,7,8,48,52
10–13 May 2018,13 May 2018,Newspoll,39,38,9,6,8,49,51
10–12 May 2018,12 May 2018,Ipsos,36,37,11,5,11,46,54
3–6 May 2018,6 May 2018,Essential,38,37,10,6,9,47,53
30 Apr 2018,30 Apr 2018,ReachTEL,36,35,11,6,12,48,52
19–22 Apr 2018,22 Apr 2018,Essential,37,36,11,8,8,47,53
22 Apr 2018,22 Apr 2018,Newspoll,38,37,9,7,9,49,51
5–8 Apr 2018,8 Apr 2018,Essential,38,37,10,7,8,47,53
5–8 Apr 2018,8 Apr 2018,Newspoll,38,37,10,7,8,48,52
3–5 Apr 2018,5 Apr 2018,Ipsos,36,34,12,8,10,48,52
24 Mar – 1 Apr 2018,1 Apr 2018,Roy Morgan,38.5,37.5,11,3,10,49,51
28 Mar 2018,28 Mar 2018,ReachTEL,34,36,10,7,13,46,54
22–25 Mar 2018,25 Mar 2018,Essential,38,36,9,8,9,48,52
22–25 Mar 2018,25 Mar 2018,Newspoll,37,39,9,7,8,47,53
17–25 Mar 2018,25 Mar 2018,Roy Morgan,40,35,12,3.5,9.5,49,51
8–11 Mar 2018,11 Mar 2018,Essential,36,38,9,8,9,46,54
