Date,last_date,Firm,pv_lnp,pv_alp,pv_grn,pv_onp,pv_oth,tpp_lnp,tpp_alp
3–11 Mar 2018,11 Mar 2018,Roy Morgan,36,36,13.5,3,11.5,46,54
1–4 Mar 2018,4 Mar 2018,Newspoll,37,38,9,7,9,47,53
22–25 Feb 2018,25 Feb 2018,Essential,35,35,10,8,12,47,53
24 Feb 2018,24 Feb 2018,ReachTEL,33,37,11,7,12,46,54
15–18 Feb 2018,18 Feb 2018,Newspoll,36,37,10,8,9,47,53
8–11 Feb 2018,11 Feb 2018,Essential,36,37,10,6,11,46,54
1–3 Feb 2018,3 Feb 2018,Newspoll,38,37,10,5,10,48,52
26–28 Jan 2018,28 Jan 2018,Essential,35,36,10,8,11,46,54
25 Jan 2018,25 Jan 2018,ReachTEL,34,36,10,8,12,48,52
11–15 Jan 2018,15 Jan 2018,Essential,37,38,9,6,10,47,53
19 Dec 2017,19 Dec 2017,Essential,37,38,9,7,9,47,53
14–17 Dec 2017,17 Dec 2017,Newspoll,36,37,10,7,10,47,53
12 Dec 2017,12 Dec 2017,Essential,35,38,10,7,9,46,54
7–10 Dec 2017,10 Dec 2017,YouGov,34,35,11,8,13,50,50
5 Dec 2017,5 Dec 2017,Essential,35,38,9,8,10,45,55
30 Nov – 3 Dec 2017,3 Dec 2017,Newspoll,36,37,10,8,9,47,53
29 Nov 2017,29 Nov 2017,ReachTEL,33,36,10,9,12,47,53
28 Nov 2017,28 Nov 2017,Essential,36,38,9,8,9,46,54
23–27 Nov 2017,27 Nov 2017,YouGov,32,32,10,11,16,47,53
21 Nov 2017,21 Nov 2017,Essential,35,38,9,8,10,46,54
14 Nov 2017,14 Nov 2017,YouGov,31,34,11,11,14,48,52
14 Nov 2017,14 Nov 2017,Essential,36,38,9,8,10,46,54
13 Nov 2017,13 Nov 2017,Newspoll,34,38,9,10,9,45,55
30 Oct 2017,30 Oct 2017,Essential,36,37,10,7,9,46,54
26–29 Oct 2017,29 Oct 2017,Newspoll,35,37,10,9,9,46,54
24 Oct 2017,24 Oct 2017,Essential,37,36,9,8,10,48,52
12–15 Oct 2017,15 Oct 2017,Newspoll,36,37,10,9,8,46,54
4 Oct 2017,4 Oct 2017,Essential,36,38,10,7,10,46,54
1 Oct 2017,1 Oct 2017,ReachTEL,36,38,9,8,9,47,53
26 Sep 2017,26 Sep 2017,Essential,37,37,10,7,9,47,53
21–24 Sep 2017,24 Sep 2017,Newspoll,36,38,9,8,9,46,54
19 Sep 2017,19 Sep 2017,Essential,38,36,10,8,8,48,52
14–18 Sep 2017,18 Sep 2017,YouGov,34,35,11,9,11,50,50
12 Sep 2017,12 Sep 2017,Essential,36,37,10,9,8,46,54
6–9 Sep 2017,9 Sep 2017,Ipsos,35,34,14,1,15,47,53
5 Sep 2017,5 Sep 2017,Essential,36,37,10,8,9,47,53
31 Aug – 4 Sep 2017,4 Sep 2017,YouGov,34,32,12,9,13,50,50
28 Aug – 2 Sep 2017,2 Sep 2017,Newspoll,37,38,9,8,8,47,53
29 Aug 2017,29 Aug 2017,Essential,37,36,10,8,9,47,53
23 Aug 2017,23 Aug 2017,ReachTEL,34.5,36.7,10.3,10.4,8.2,48,52
22 Aug 2017,22 Aug 2017,Essential,37,37,9,8,9,47,53
17–21 Aug 2017,21 Aug 2017,YouGov,34,33,10,10,13,51,49
17–20 Aug 2017,20 Aug 2017,Newspoll,35,38,9,9,9,46,54
15 Aug 2017,15 Aug 2017,Essential,37,39,9,8,7,46,54
8 Aug 2017,8 Aug 2017,Essential,37,39,9,8,7,46,54
3–6 Aug 2017,6 Aug 2017,Newspoll,36,36,11,8,9,47,53
1 Aug 2017,1 Aug 2017,Essential,38,36,10,8,8,48,52
25 Jul 2017,25 Jul 2017,Essential,38,37,10,7,8,47,53
20–24 Jul 2017,24 Jul 2017,YouGov,36,33,10,8,13,50,50
20–23 Jul 2017,23 Jul 2017,Newspoll,36,37,9,9,9,47,53
19 Jul 2017,19 Jul 2017,ReachTEL,37.2,35.1,8.8,11.7,7.2,49,51
18 Jul 2017,18 Jul 2017,Essential,36,38,10,7,9,46,54
6–11 Jul 2017,11 Jul 2017,YouGov,36,33,12,7,12,52,48
6–9 Jul 2017,9 Jul 2017,Newspoll,35,36,10,11,8,47,53
29 Jun 2017,29 Jun 2017,ReachTEL,36.4,35.4,10.2,9.6,8.3,48,52
22–27 Jun 2017,27 Jun 2017,YouGov,33,34,12,7,14,49,51
15–18 Jun 2017,18 Jun 2017,Newspoll,36,37,9,11,7,47,53
14 Jun 2017,14 Jun 2017,Essential,38,36,10,8,8,48,52
26–29 May 2017,29 May 2017,Newspoll,36,36,10,9,9,47,53
23 May 2017,23 May 2017,Essential,37,38,10,6,9,46,54
12–15 May 2017,15 May 2017,Newspoll,36,36,10,9,9,47,53
11 May 2017,11 May 2017,ReachTEL,38,34.1,10.9,11,6,47,53
10–11 May 2017,11 May 2017,Ipsos,37,35,13,2,13,47,53
26–30 Apr 2017,30 Apr 2017,Essential,38,37,9,7,9,47,53
20–23 Apr 2017,23 Apr 2017,Newspoll,36,35,9,10,10,48,52
13–16 Apr 2017,16 Apr 2017,Essential,36,37,10,8,10,46,54
6–9 Apr 2017,9 Apr 2017,Essential,37,36,10,8,9,47,53
1–4 Apr 2017,4 Apr 2017,Essential,37,36,10,8,9,47,53
30 Mar – 2 Apr 2017,2 Apr 2017,Newspoll,36,36,10,10,8,47,53
24–27 Mar 2017,27 Mar 2017,Essential,35,37,10,8,11,46,54
22–25 Mar 2017,25 Mar 2017,Ipsos,33,34,16,2,15,45,55
17–20 Mar 2017,20 Mar 2017,Essential,34,37,9,10,9,45,55
16–19 Mar 2017,19 Mar 2017,Newspoll,37,35,9,10,9,48,52
10–13 Mar 2017,13 Mar 2017,Essential,35,36,9,11,9,47,53
3–6 Mar 2017,6 Mar 2017,Essential,37,37,9,9,8,47,53
23–26 Feb 2017,26 Feb 2017,Newspoll,34,37,10,10,9,45,55
16–19 Feb 2017,19 Feb 2017,Essential,36,34,10,10,10,48,52
9–12 Feb 2017,12 Feb 2017,Essential,36,35,9,10,9,48,52
2–5 Feb 2017,5 Feb 2017,Newspoll,35,36,10,8,11,46,54
20–23 Jan 2017,23 Jan 2017,Essential,35,37,10,9,8,46,54
13–16 Jan 2017,16 Jan 2017,Essential,38,37,9,8,8,47,53
12 Jan 2017,12 Jan 2017,ReachTEL,37.1,35.0,9.8,10.6,7.5,46,54
9–12 Dec 2016,12 Dec 2016,Essential,37,37,9,7,9,47,53
1–4 Dec 2016,4 Dec 2016,Newspoll,39,36,10,5,10,48,52
25–28 Nov 2016,28 Nov 2016,Essential,39,36,9,7,9,49,51
24–26 Nov 2016,26 Nov 2016,Ipsos,36,30,16,7,9,49,51
17–20 Nov 2016,20 Nov 2016,Newspoll,38,38,10,4,10,47,53
11–14 Nov 2016,14 Nov 2016,Essential,37,37,11,6,9,47,53
3–6 Nov 2016,6 Nov 2016,Newspoll,39,38,10,,13,47,53
20–23 Oct 2016,23 Oct 2016,Newspoll,39,37,10,5,9,48,52
14–17 Oct 2016,17 Oct 2016,Essential,37,37,11,5,9,47,53
7–10 Oct 2016,10 Oct 2016,Essential,38,36,10,6,10,48,52
6–9 Oct 2016,9 Oct 2016,Newspoll,39,36,10,6,9,48,52
22–25 Sep 2016,25 Sep 2016,Newspoll,38,37,10,,15,48,52
9–12 Sep 2016,12 Sep 2016,Essential,38,37,10,5,11,48,52
8–11 Sep 2016,11 Sep 2016,Newspoll,41,36,9,,14,50,50
26–29 Aug 2016,29 Aug 2016,Essential,40,37,10,,13,49,51
25–28 Aug 2016,28 Aug 2016,Newspoll,41,36,9,,14,50,50
19–22 Aug 2016,22 Aug 2016,Essential,39,36,10,,15,49,51
12–15 Aug 2016,15 Aug 2016,Essential,39,37,10,,14,48,52
5–8 Aug 2016,8 Aug 2016,Essential,40,37,10,,13,48,52
27 Jul – 1 Aug 2016,1 Aug 2016,Essential,39,37,10,,14,48,52
20–24 Jul 2016,24 Jul 2016,Essential,39,37,10,,14,48,52
13–17 Jul 2016,17 Jul 2016,Essential,39,36,10,,15,49,51
6–10 Jul 2016,10 Jul 2016,Essential,41,36,10,,13,49,51
30 Jun – 3 Jul 2016,3 Jul 2016,Essential,41,37,10,,12,50,50
